                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5159,                 1.0276,                0.94228,                0.67834,                0.53241,                 0.5703,                 0.2741,                 1.8143,                 1.2667,                0.96336,               0.000878,               0.000878,               0.000878
                     36,                 1.5573,                 1.0549,                0.93575,                0.65558,                 0.4935,                0.54634,                0.26128,                 1.8535,                  1.212,                0.96398,               0.000845,               0.000845,               0.000845
                     37,                 1.5985,                 1.1127,                0.93595,                0.57791,                0.49537,                0.54096,                0.24509,                 1.9903,                 1.2957,                0.98586,               0.000812,               0.000812,               0.000812
                     38,                 1.5394,                 1.0069,                0.92902,                0.65086,                0.47468,                 0.5273,                0.24693,                 1.9214,                 1.2596,                 0.9833,               0.000779,               0.000779,               0.000779
                     39,                  1.499,                0.99066,                0.91717,                0.67375,                0.49718,                0.55603,                0.26277,                 1.8643,                 1.1658,                0.97655,               0.000746,               0.000746,               0.000746
                     40,                 1.5276,                   1.03,                0.94548,                 0.6158,                0.51852,                0.56947,                0.26953,                 1.8859,                 1.1745,                0.98561,               0.000713,               0.000713,               0.000713
                     41,                 1.4361,                0.92211,                0.91978,                0.65081,                0.51389,                0.56907,                0.27879,                 1.8474,                 1.1671,                0.97648,                0.00068,                0.00068,                0.00068
                     42,                 1.4039,                 0.9151,                 0.9091,                0.68261,                0.51389,                0.59479,                0.27756,                 1.8701,                 1.1625,                0.97783,               0.000647,               0.000647,               0.000647
                     43,                 1.5279,                0.98913,                0.93496,                0.69001,                0.49466,                 0.5875,                0.28767,                 1.8094,                 1.2199,                0.98238,               0.000614,               0.000614,               0.000614
                     44,                 1.4526,                0.91845,                0.90001,                0.71403,                0.41667,                0.52337,                 0.2338,                 1.9841,                 1.2717,                0.99992,               0.000581,               0.000581,               0.000581
                     45,                 1.5086,                0.96969,                0.94072,                0.73304,                0.50463,                0.57628,                 0.2822,                 1.8068,                 1.1042,                0.98394,               0.000548,               0.000548,               0.000548
                     46,                 1.4092,                0.92054,                0.92016,                0.68707,                0.49809,                0.56679,                0.26036,                 1.9544,                 1.1866,                0.99328,               0.000515,               0.000515,               0.000515
                     47,                 1.4241,                0.95214,                0.90831,                0.67512,                 0.5484,                0.58498,                0.27956,                 1.7939,                  1.135,                0.96178,               0.000482,               0.000482,               0.000482
                     48,                 1.4226,                0.94238,                0.91182,                0.73095,                    0.5,                0.58472,                0.27828,                 1.8175,                 1.1424,                0.96575,               0.000449,               0.000449,               0.000449
                     49,                 1.4498,                0.94627,                0.92972,                0.75834,                0.50848,                0.58977,                0.28497,                 1.8302,                 1.2031,                0.97369,               0.000416,               0.000416,               0.000416
                     50,                 1.3492,                0.87401,                0.91733,                0.74118,                0.52315,                0.58086,                0.27741,                 1.7977,                 1.1946,                0.97654,               0.000383,               0.000383,               0.000383
                     51,                 1.4169,                0.95907,                0.92054,                0.69943,                0.54167,                0.58871,                0.28419,                 1.8036,                 1.1763,                0.97703,                0.00035,                0.00035,                0.00035
                     52,                 1.3942,                0.93544,                0.91962,                0.73992,                0.52685,                0.59086,                0.27575,                 1.8501,                 1.1927,                0.98146,               0.000317,               0.000317,               0.000317
                     53,                  1.386,                 0.9439,                0.95636,                0.74435,                0.50926,                0.59398,                0.28103,                 1.8137,                 1.1169,                0.97616,               0.000284,               0.000284,               0.000284
                     54,                 1.3846,                0.89931,                0.90489,                0.72126,                0.55556,                0.60411,                0.28519,                 1.7716,                 1.0872,                0.95629,               0.000251,               0.000251,               0.000251
                     55,                  1.328,                0.88586,                0.92999,                 0.7091,                0.53704,                0.59436,                0.27762,                  1.831,                 1.0979,                0.95739,               0.000218,               0.000218,               0.000218
                     56,                 1.3049,                0.87752,                0.89265,                0.71234,                0.53883,                0.59721,                0.28582,                 1.8156,                 1.0893,                0.96228,               0.000185,               0.000185,               0.000185
                     57,                 1.3508,                0.83944,                0.94104,                0.75681,                 0.5787,                0.63114,                0.29419,                 1.7876,                 1.0983,                0.96814,               0.000152,               0.000152,               0.000152
                     58,                 1.3228,                 0.8663,                0.90147,                0.69303,                0.55556,                0.59655,                0.29267,                 1.7886,                 1.1001,                0.97408,               0.000119,               0.000119,               0.000119
                     59,                 1.2977,                0.85561,                0.90593,                0.73104,                    0.5,                 0.5869,                0.28679,                 1.8074,                 1.0988,                0.97533,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                 1.3239,                0.83997,                0.91743,                0.70256,                0.51395,                0.59075,                0.28873,                 1.8052,                 1.0976,                0.97169,                5.3e-05,                5.3e-05,                5.3e-05
