                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9936,                 151.26,                 1.3237,                      0,                      0,                      0,                      0,                 3.1723,                 57.231,                 1.6574,                0.00014,                0.00014,                0.00014
                      2,                 2.9908,                 100.84,                 1.4047,                 0.0001,                0.01408,                  5e-05,                  1e-05,                 2.8538,                  114.5,                  1.306,             0.00029151,             0.00029151,             0.00029151
                      3,                 2.6399,                 20.679,                 1.1563,                0.00182,                0.02817,                0.00065,                0.00026,                 2.9214,                 193.25,                 1.3101,             0.00043398,             0.00043398,             0.00043398
                      4,                 2.6553,                 11.746,                 1.1407,                0.02023,                0.23944,                0.00885,                0.00247,                 2.7196,                 28.729,                 1.1624,             0.00056739,             0.00056739,             0.00056739
                      5,                 2.2366,                 5.1189,                 1.0695,                0.03672,                0.08451,                 0.0121,                0.00429,                 2.5918,                 7.3205,                 1.1094,             0.00069175,             0.00069175,             0.00069175
                      6,                 2.4256,                  5.484,                 1.0731,                0.11632,                0.09859,                0.04221,                0.01305,                 2.6583,                 11.994,                 1.1058,             0.00080706,             0.00080706,             0.00080706
                      7,                 2.4178,                  3.472,                 1.1132,                0.31221,                0.11268,                0.08538,                0.02484,                 2.7343,                 4.0225,                 1.1843,             0.00091331,             0.00091331,             0.00091331
                      8,                 2.5092,                 3.2039,                 1.1156,                0.31221,                0.11268,                0.08538,                0.02484,                 3.4675,                    inf,                 10.204,              0.0010105,              0.0010105,              0.0010105
                      9,                 2.4027,                 2.5935,                 1.1004,                0.31221,                0.11268,                0.08538,                0.02484,                  4.068,                    inf,                 3.1393,              0.0010987,              0.0010987,              0.0010987
                     10,                 2.3404,                 2.6507,                 1.1079,                0.31221,                0.11268,                0.08538,                0.02484,                 4.1873,                    inf,                 4.8671,              0.0011778,              0.0011778,              0.0011778
                     11,                 2.4236,                 2.6894,                  1.137,                 0.0004,                0.04225,                0.00021,                  5e-05,                 3.4228,                    inf,                 2.5259,              0.0012478,              0.0012478,              0.0012478
                     12,                 2.2062,                 2.1803,                 1.0278,                0.00231,                0.11268,                0.00113,                0.00031,                  3.502,                 159.07,                 2.0499,              0.0013088,              0.0013088,              0.0013088
                     13,                 2.3794,                 2.0629,                  1.091,                0.01812,                0.05634,                0.00318,                0.00088,                 3.5668,                 15.471,                 3.3263,              0.0013211,              0.0013211,              0.0013211
                     14,                 2.3137,                 2.0426,                 1.0963,                0.00168,                0.01408,                0.00038,                0.00014,                 3.4582,                 21.838,                 4.3225,              0.0012646,              0.0012646,              0.0012646
                     15,                 2.3917,                  2.206,                 1.0576,                0.00089,                0.07042,                0.00045,                0.00019,                 3.0561,                    inf,                 1.3256,               0.001208,               0.001208,               0.001208
                     16,                 2.2052,                 1.8547,                 1.0419,                0.00086,                0.07042,                0.00046,                0.00022,                 3.2463,                  588.3,                 1.3381,              0.0011514,              0.0011514,              0.0011514
                     17,                 2.0493,                 1.9432,                 1.0526,                0.00528,                0.12676,                0.00207,                 0.0007,                 3.2842,                 68.539,                 1.3892,              0.0010949,              0.0010949,              0.0010949
                     18,                 2.1801,                 1.7873,                 1.0294,                0.02753,                0.07042,                0.00675,                0.00205,                 3.3051,                 15.252,                 1.2881,              0.0010383,              0.0010383,              0.0010383
                     19,                 2.3138,                 2.0095,                 1.0834,                0.01891,                0.15493,                0.00823,                0.00186,                    3.6,                 10.525,                 1.3629,             0.00098171,             0.00098171,             0.00098171
                     20,                 2.1076,                 1.7423,                 1.0475,                0.24503,                0.14085,                0.12786,                0.04486,                  3.234,                 4.6615,                 1.3399,             0.00092514,             0.00092514,             0.00092514
                     21,                 2.2561,                   1.61,                 1.0563,                0.32257,                0.11268,                0.08097,                0.02628,                 3.3841,                 4.4874,                 1.3107,             0.00086857,             0.00086857,             0.00086857
                     22,                 2.3107,                 1.6982,                  1.045,                0.46923,                0.25352,                0.25756,                0.08606,                  3.077,                 2.4619,                 1.2479,               0.000812,               0.000812,               0.000812
                     23,                 2.2094,                 1.6091,                 1.0364,                 0.4042,                0.28169,                0.28051,                0.08993,                 2.8792,                  2.385,                 1.1536,             0.00075543,             0.00075543,             0.00075543
                     24,                 2.0923,                 1.4633,                 1.0312,                0.47761,                0.21902,                0.23128,                0.08126,                 2.6898,                 2.3901,                  1.085,             0.00069886,             0.00069886,             0.00069886
                     25,                 2.0691,                 1.5114,                  1.039,                 0.5501,                0.25352,                0.29331,                0.09919,                 2.6401,                  2.127,                 1.0939,             0.00064229,             0.00064229,             0.00064229
                     26,                   2.09,                 1.7191,                 1.0149,                 0.6014,                0.32394,                0.36103,                0.13628,                 2.5888,                 1.9328,                 1.0891,             0.00058571,             0.00058571,             0.00058571
                     27,                 2.0629,                 1.4941,                 1.0554,                0.47397,                0.39437,                0.38481,                0.14099,                 2.6616,                 1.9492,                 1.1209,             0.00052914,             0.00052914,             0.00052914
