                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5345,                0.93448,                0.89996,                0.68842,                0.48211,                0.56128,                0.25024,                 1.7229,                 1.1016,                0.93798,             0.00062733,             0.00062733,             0.00062733
                     36,                 1.5596,                0.92402,                0.90197,                0.63934,                 0.5684,                0.58727,                0.27982,                 1.7588,                 1.1082,                0.94882,             0.00060375,             0.00060375,             0.00060375
                     37,                 1.6203,                0.94647,                0.90796,                0.53303,                0.54805,                0.57158,                0.28308,                 1.6517,                 1.1404,                0.94667,             0.00058017,             0.00058017,             0.00058017
                     38,                 1.5095,                0.90062,                0.90127,                0.64265,                0.48184,                0.52447,                0.26789,                 1.6764,                 1.1963,                0.95247,              0.0005566,              0.0005566,              0.0005566
                     39,                 1.5097,                0.87057,                0.90961,                0.61428,                0.46184,                0.47894,                0.22825,                 1.7116,                 1.1593,                0.95343,             0.00053302,             0.00053302,             0.00053302
                     40,                 1.5472,                 0.8774,                 0.9018,                0.64293,                0.48083,                0.54438,                0.27608,                 1.6983,                 1.0968,                0.96129,             0.00050944,             0.00050944,             0.00050944
                     41,                 1.4658,                0.80669,                 0.8818,                0.66689,                0.47277,                0.53845,                0.28633,                  1.706,                 1.1172,                0.95799,             0.00048586,             0.00048586,             0.00048586
                     42,                   1.52,                0.85763,                 0.9133,                0.61247,                0.53448,                0.58137,                 0.2924,                  1.652,                 1.0691,                0.93617,             0.00046228,             0.00046228,             0.00046228
                     43,                  1.467,                0.79171,                0.89028,                0.52355,                0.54705,                0.53936,                0.28245,                 1.6283,                 1.0855,                0.93504,              0.0004387,              0.0004387,              0.0004387
                     44,                 1.4875,                0.79593,                0.89151,                0.63351,                0.50687,                0.55812,                0.27525,                 1.6375,                 1.0476,                0.93301,             0.00041512,             0.00041512,             0.00041512
                     45,                 1.4841,                0.80275,                0.88842,                0.61841,                0.52489,                0.56072,                0.28917,                 1.6386,                 1.0145,                0.93704,             0.00039155,             0.00039155,             0.00039155
                     46,                 1.4651,                0.82431,                0.87715,                0.55972,                 0.5796,                0.55045,                0.29344,                 1.6337,                 1.0641,                 0.9427,             0.00036797,             0.00036797,             0.00036797
                     47,                 1.4011,                0.79145,                0.87362,                0.64807,                0.54834,                0.57288,                0.28504,                 1.7252,                 1.1447,                0.95094,             0.00034439,             0.00034439,             0.00034439
                     48,                 1.3913,                0.76495,                0.87527,                0.66116,                0.52583,                 0.5502,                0.26318,                 1.7213,                 1.0839,                0.94683,             0.00032081,             0.00032081,             0.00032081
                     49,                 1.3772,                0.76814,                0.88139,                0.65607,                0.56187,                0.59849,                0.29098,                 1.6672,                 1.0579,                0.94627,             0.00029723,             0.00029723,             0.00029723
                     50,                 1.4372,                0.77462,                0.86896,                0.67425,                0.54105,                0.57966,                0.28464,                 1.7094,                  1.061,                0.94919,             0.00027365,             0.00027365,             0.00027365
                     51,                  1.425,                0.79668,                0.90018,                0.68474,                0.52213,                0.58951,                0.29952,                 1.6638,                 1.0529,                0.93815,             0.00025007,             0.00025007,             0.00025007
                     52,                 1.2945,                  0.773,                0.82396,                0.68011,                 0.4975,                0.58332,                0.29474,                 1.6781,                 1.0858,                0.94375,              0.0002265,              0.0002265,              0.0002265
                     53,                 1.3587,                0.74362,                0.88888,                0.61117,                0.50653,                0.57121,                0.29133,                 1.6889,                 1.1161,                0.95163,             0.00020292,             0.00020292,             0.00020292
                     54,                 1.3677,                0.71094,                0.87742,                0.54086,                0.66576,                0.59773,                0.30166,                 1.6693,                  1.104,                 0.9497,             0.00017934,             0.00017934,             0.00017934
                     55,                 1.3494,                0.72382,                0.87085,                 0.5519,                0.66387,                0.59031,                0.30209,                 1.6809,                 1.1141,                 0.9489,             0.00015576,             0.00015576,             0.00015576
                     56,                 1.2793,                0.69739,                0.86516,                0.69137,                0.49497,                0.57236,                0.28098,                 1.6966,                 1.1179,                0.95098,             0.00013218,             0.00013218,             0.00013218
                     57,                 1.2674,                0.68013,                0.86921,                0.54563,                0.61069,                0.58671,                0.29789,                 1.6888,                 1.1065,                0.95506,              0.0001086,              0.0001086,              0.0001086
                     58,                 1.3072,                0.68865,                0.87455,                0.55274,                0.58632,                0.55719,                0.28866,                 1.6744,                 1.0871,                0.95575,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     59,                  1.289,                0.69838,                0.86636,                0.58006,                0.58407,                0.56024,                0.28625,                 1.6572,                 1.0859,                0.95476,             6.1447e-05,             6.1447e-05,             6.1447e-05
                     60,                 1.3083,                0.69538,                0.90883,                0.58695,                0.55254,                0.56055,                0.28683,                 1.6477,                 1.0852,                0.95399,             3.7869e-05,             3.7869e-05,             3.7869e-05
