                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.114,                 15.003,                 1.2203,                0.01059,                0.33333,                0.00665,                0.00278,                 2.4984,                 26.192,                 1.2596,             0.00065591,             0.00065591,             0.00065591
                      2,                 2.2713,                 4.8359,                  1.282,                0.00086,                0.00926,                0.00098,                0.00039,                    nan,                    nan,                    nan,              0.0013008,              0.0013008,              0.0013008
                      3,                 2.6947,                 3.5642,                 1.4334,                0.07098,                0.03704,                0.01983,                0.00778,                    nan,                    nan,                    nan,              0.0019236,              0.0019236,              0.0019236
                      4,                 2.6941,                 4.4719,                 1.4586,                0.08179,                0.03704,                0.01541,                0.00532,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                      5,                 2.5962,                 3.1134,                 1.3685,                0.30278,                0.22685,                0.18301,                0.06246,                   2.72,                 2.7314,                 1.4212,               0.001868,               0.001868,               0.001868
                      6,                 2.4909,                 3.5406,                 1.4022,                0.36065,                0.22982,                0.18176,                0.06351,                 2.5947,                    nan,                  1.408,               0.001835,               0.001835,               0.001835
                      7,                 2.3454,                 2.7097,                 1.3508,                0.29249,                0.23611,                0.15424,                  0.055,                 2.6169,                 2.4445,                 1.5986,               0.001802,               0.001802,               0.001802
                      8,                 2.2626,                 2.2947,                 1.2717,                0.43499,                0.36574,                0.30653,                0.12839,                 2.4548,                 2.0887,                 1.2914,               0.001769,               0.001769,               0.001769
                      9,                 2.1958,                 2.2389,                 1.2694,                0.36228,                0.33333,                0.28616,                0.12062,                 2.2903,                 2.7243,                 1.2317,               0.001736,               0.001736,               0.001736
                     10,                 2.2122,                 2.2683,                  1.291,                0.30615,                0.30556,                0.20255,                 0.0709,                 2.4759,                 3.0685,                  1.262,               0.001703,               0.001703,               0.001703
                     11,                 2.1177,                 2.2423,                 1.2305,                0.38305,                   0.25,                0.22938,                0.08219,                 2.5966,                 2.8212,                 1.3442,                0.00167,                0.00167,                0.00167
                     12,                 2.0549,                 1.9119,                 1.1406,                0.37445,                0.14352,                0.16697,                0.08662,                 2.1472,                 3.0567,                 1.1732,               0.001637,               0.001637,               0.001637
                     13,                 1.9652,                 1.9137,                 1.1885,                0.48697,                0.35185,                 0.3053,                0.13069,                 2.2738,                 2.1049,                 1.1837,               0.001604,               0.001604,               0.001604
                     14,                 1.9759,                 1.6984,                 1.1722,                0.57851,                 0.3749,                 0.4038,                0.18641,                 2.1739,                 1.9071,                 1.1581,               0.001571,               0.001571,               0.001571
                     15,                 1.9178,                 1.7106,                 1.1523,                0.54909,                0.45666,                 0.4455,                0.19395,                 2.1701,                 2.0443,                 1.1586,               0.001538,               0.001538,               0.001538
                     16,                 2.0071,                 1.7149,                 1.1673,                0.57913,                0.44444,                0.46553,                0.20577,                 2.1118,                 1.6886,                 1.1316,               0.001505,               0.001505,               0.001505
                     17,                 1.8987,                 1.7615,                  1.114,                0.51622,                0.47222,                0.46402,                 0.2072,                 2.1417,                 1.6902,                 1.1324,               0.001472,               0.001472,               0.001472
                     18,                 1.9368,                 1.7389,                 1.1856,                0.69027,                0.45398,                  0.511,                0.21689,                 2.0841,                 1.8715,                   1.12,               0.001439,               0.001439,               0.001439
                     19,                 1.8984,                 1.8151,                 1.0987,                0.50457,                0.41667,                0.40426,                0.16893,                 2.0175,                 1.9848,                 1.1151,               0.001406,               0.001406,               0.001406
                     20,                  1.778,                 1.4717,                 1.1088,                0.70554,                0.51852,                0.55774,                 0.2502,                 2.0419,                 1.5411,                 1.1216,               0.001373,               0.001373,               0.001373
                     21,                 1.9462,                 1.4795,                 1.1253,                0.55577,                0.52778,                0.51576,                0.22863,                 2.0337,                 1.5568,                 1.1136,                0.00134,                0.00134,                0.00134
                     22,                 1.8957,                 1.5262,                 1.1517,                0.71377,                0.49643,                0.55819,                0.25826,                 2.0015,                 1.4399,                 1.1015,               0.001307,               0.001307,               0.001307
                     23,                 1.8007,                 1.5141,                  1.135,                0.68021,                0.50926,                0.54978,                0.25759,                  2.014,                 1.5185,                 1.1007,               0.001274,               0.001274,               0.001274
                     24,                 1.8414,                 1.4313,                 1.1031,                0.68263,                0.55556,                0.60878,                0.27422,                 1.9909,                 1.4006,                 1.0879,               0.001241,               0.001241,               0.001241
                     25,                  1.731,                  1.384,                 1.0626,                0.78423,                0.48799,                0.57294,                0.26655,                 2.0118,                 1.4606,                   1.09,               0.001208,               0.001208,               0.001208
                     26,                 1.7547,                 1.3951,                  1.063,                0.64098,                  0.529,                0.56942,                 0.2828,                 1.9604,                 1.5038,                 1.0719,               0.001175,               0.001175,               0.001175
                     27,                 1.6979,                 1.3478,                 1.0574,                0.74932,                0.52589,                0.58707,                0.27188,                  1.967,                 1.4921,                 1.0959,               0.001142,               0.001142,               0.001142
                     28,                 1.7302,                 1.4053,                 1.0564,                0.67166,                0.53704,                0.57951,                0.28005,                   1.92,                 1.5128,                 1.0771,               0.001109,               0.001109,               0.001109
                     29,                 1.6602,                 1.4495,                  1.023,                0.70987,                0.52315,                0.58205,                 0.2672,                 1.9795,                 1.6383,                 1.0705,               0.001076,               0.001076,               0.001076
                     30,                 1.6716,                 1.2614,                 1.0519,                 0.6422,                0.55675,                 0.5814,                0.27561,                 1.9195,                 1.5307,                 1.0602,               0.001043,               0.001043,               0.001043
                     31,                 1.6734,                 1.2836,                 1.0759,                0.58832,                0.53704,                0.54946,                0.25381,                 2.0194,                 1.5233,                 1.0885,                0.00101,                0.00101,                0.00101
                     32,                 1.6155,                 1.3103,                  1.063,                0.64554,                0.54167,                0.59006,                0.26822,                 1.9965,                 1.4723,                 1.0663,               0.000977,               0.000977,               0.000977
                     33,                 1.7021,                 1.2813,                 1.0431,                0.69425,                0.53241,                0.59668,                0.29068,                 1.9581,                 1.4189,                  1.072,               0.000944,               0.000944,               0.000944
                     34,                 1.6892,                 1.3118,                 1.1014,                0.60954,                0.56944,                0.58138,                0.28042,                 1.9171,                  1.411,                 1.0548,               0.000911,               0.000911,               0.000911
                     35,                 1.6391,                  1.202,                 1.0563,                0.69311,                0.48611,                0.58698,                0.28334,                 1.9136,                 1.3774,                 1.0473,               0.000878,               0.000878,               0.000878
                     36,                 1.6309,                 1.1926,                 1.0446,                 0.8084,                0.50789,                0.61438,                0.31944,                 1.8307,                 1.3883,                 1.0484,               0.000845,               0.000845,               0.000845
                     37,                 1.7048,                 1.2558,                 1.0454,                0.70524,                0.50463,                0.57882,                0.27951,                 1.9459,                 1.3941,                 1.0545,               0.000812,               0.000812,               0.000812
                     38,                 1.6381,                 1.1265,                  1.035,                 0.7492,                0.50463,                0.59722,                0.30592,                 1.9001,                 1.3389,                 1.0513,               0.000779,               0.000779,               0.000779
                     39,                 1.5308,                 1.0279,                 1.0628,                0.68218,                0.51852,                0.59227,                0.29689,                 1.8902,                 1.3276,                  1.046,               0.000746,               0.000746,               0.000746
                     40,                 1.5689,                  1.128,                 1.0187,                0.67544,                0.61664,                0.64019,                0.32271,                 1.8402,                 1.2693,                 1.0468,               0.000713,               0.000713,               0.000713
                     41,                 1.4838,                 1.0568,                 1.0059,                 0.6294,                0.59722,                0.61658,                0.31583,                 1.8357,                 1.3068,                 1.0381,                0.00068,                0.00068,                0.00068
                     42,                  1.606,                 1.0387,                 1.0352,                0.61295,                  0.625,                0.64486,                0.29262,                 1.9197,                 1.2686,                 1.0567,               0.000647,               0.000647,               0.000647
                     43,                  1.491,                  0.992,                  1.023,                0.68315,                0.63889,                0.64541,                0.31621,                 1.8644,                 1.2589,                 1.0482,               0.000614,               0.000614,               0.000614
                     44,                 1.5983,                 1.1131,                 1.0312,                0.65262,                0.60883,                0.66197,                0.32568,                 1.8372,                 1.2734,                 1.0388,               0.000581,               0.000581,               0.000581
                     45,                 1.5068,                0.97776,                 1.0095,                0.58264,                0.61574,                0.62484,                0.31664,                 1.8487,                  1.283,                 1.0345,               0.000548,               0.000548,               0.000548
                     46,                 1.4875,                0.93277,                0.98765,                0.70066,                0.54182,                0.62735,                0.32141,                 1.8316,                 1.3171,                 1.0422,               0.000515,               0.000515,               0.000515
                     47,                 1.4738,                0.93856,                0.99621,                0.69009,                0.58333,                0.62547,                 0.3104,                 1.8849,                 1.3248,                 1.0407,               0.000482,               0.000482,               0.000482
                     48,                  1.473,                  0.916,                 1.0009,                0.72558,                0.60185,                0.65796,                0.32233,                 1.8098,                 1.2499,                 1.0386,               0.000449,               0.000449,               0.000449
                     49,                  1.551,                 1.0433,                 1.0228,                0.66829,                0.61561,                 0.6475,                0.31088,                 1.9037,                 1.2536,                 1.0384,               0.000416,               0.000416,               0.000416
                     50,                 1.4451,                0.95954,                 1.0024,                0.70359,                0.63889,                0.67054,                0.35137,                 1.8163,                 1.2334,                 1.0459,               0.000383,               0.000383,               0.000383
                     51,                 1.4555,                 1.0541,                 1.0086,                0.71391,                0.61574,                 0.6716,                0.34373,                 1.8218,                 1.2694,                 1.0421,                0.00035,                0.00035,                0.00035
                     52,                 1.4395,                0.93374,                 1.0089,                 0.7946,                0.56019,                0.65376,                0.32923,                 1.8515,                 1.2622,                 1.0432,               0.000317,               0.000317,               0.000317
                     53,                 1.4647,                0.90392,                 1.0052,                0.80631,                 0.5787,                0.66223,                0.33425,                 1.8299,                 1.1737,                 1.0419,               0.000284,               0.000284,               0.000284
                     54,                 1.4594,                0.90971,                0.98978,                 0.7657,                 0.5787,                0.65702,                0.33351,                  1.833,                 1.1893,                 1.0414,               0.000251,               0.000251,               0.000251
                     55,                 1.4332,                0.93354,                 1.0049,                  0.716,                0.60694,                0.65402,                  0.324,                 1.8634,                    1.2,                 1.0437,               0.000218,               0.000218,               0.000218
                     56,                  1.374,                0.92078,                 1.0109,                0.69117,                0.64815,                0.67235,                0.33564,                 1.8225,                 1.1781,                 1.0361,               0.000185,               0.000185,               0.000185
                     57,                 1.4716,                0.91776,                 1.0009,                0.70832,                0.66333,                0.67461,                0.33847,                 1.8174,                 1.1749,                 1.0306,               0.000152,               0.000152,               0.000152
                     58,                 1.3391,                0.83767,                 0.9962,                0.72032,                0.59618,                0.64852,                0.33274,                 1.8135,                 1.1792,                 1.0215,               0.000119,               0.000119,               0.000119
                     59,                 1.3309,                0.82299,                0.96966,                0.67628,                0.60648,                0.64239,                 0.3303,                 1.8628,                 1.2085,                 1.0253,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                 1.3318,                0.82861,                0.99561,                0.72362,                0.59259,                0.65275,                 0.3346,                 1.8458,                 1.2049,                 1.0238,                5.3e-05,                5.3e-05,                5.3e-05
