                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2537,                   18.1,                 1.5893,                0.37089,                0.06081,                0.01962,                0.00532,                 2.7031,                   11.7,                 1.1953,             0.00021435,             0.00021435,             0.00021435
                      2,                 2.4975,                 4.3325,                 1.2391,                0.21711,                0.12965,                0.06903,                0.01759,                  3.044,                 6.2899,                 1.3005,             0.00043568,             0.00043568,             0.00043568
                      3,                 2.3933,                 3.1794,                 1.1718,                0.11447,                0.19555,                0.07963,                0.02597,                 2.7054,                 4.4248,                 1.1824,             0.00064947,             0.00064947,             0.00064947
                      4,                 2.3973,                 2.7911,                 1.2119,                0.23003,                0.23185,                0.14365,                0.03412,                 2.8252,                 2.7515,                 1.2357,             0.00085571,             0.00085571,             0.00085571
                      5,                 2.2995,                 2.4916,                 1.1844,                0.81166,                0.09234,                0.10064,                0.03513,                   2.54,                  3.049,                 1.1369,              0.0010544,              0.0010544,              0.0010544
                      6,                 2.3099,                 2.4468,                 1.1777,                0.43748,                0.08333,                0.06266,                0.01591,                  2.956,                 4.5892,                 1.3038,              0.0012456,              0.0012456,              0.0012456
                      7,                 2.2767,                 2.3154,                 1.1746,                0.26689,                0.13898,                0.10277,                0.02641,                 2.7263,                 4.8208,                 1.2151,              0.0012875,              0.0012875,              0.0012875
                      8,                 2.1849,                 2.0577,                 1.1695,                0.54623,                0.13303,                0.13639,                0.03755,                 2.8029,                 2.6287,                 1.2166,               0.001264,               0.001264,               0.001264
                      9,                 2.3182,                 2.1376,                 1.1665,                0.33746,                0.12253,                0.09442,                0.02264,                 2.7908,                 3.4136,                 1.3232,              0.0012404,              0.0012404,              0.0012404
                     10,                 2.1911,                 1.9301,                 1.1354,                0.64176,                0.12979,                 0.1576,                0.03845,                 2.7163,                 2.3503,                 1.2423,              0.0012168,              0.0012168,              0.0012168
                     11,                  2.267,                 2.1391,                 1.1325,                0.21808,                0.14252,                0.13101,                0.03506,                 2.8773,                 2.1686,                 1.2998,              0.0011932,              0.0011932,              0.0011932
                     12,                 2.2495,                 1.9813,                  1.122,                 0.3034,                0.29073,                0.21181,                0.05412,                 2.7955,                 2.4301,                 1.2555,              0.0011696,              0.0011696,              0.0011696
                     13,                 2.2789,                 1.9745,                 1.1707,                0.67833,                0.29129,                0.24697,                0.06594,                 2.7656,                 2.6424,                 1.2293,              0.0011461,              0.0011461,              0.0011461
                     14,                 2.1412,                 1.9799,                 1.1335,                0.37805,                 0.1872,                0.19836,                 0.0411,                 2.8049,                 2.2189,                  1.248,              0.0011225,              0.0011225,              0.0011225
                     15,                 2.1571,                 1.9651,                 1.1421,                0.65582,                0.15809,                0.15886,                0.06119,                 2.5578,                 2.0972,                 1.1936,              0.0010989,              0.0010989,              0.0010989
